Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Torque_x_Toolwear,Temp_difference
1,301.6,311.1,1408,44.4,106,4706.4,9.5
2,298.7,309.6,1424,50.4,32,1612.8,10.900000000000034
1,301.5,310.7,1435,38.5,224,8624.0,9.199999999999989
2,298.0,308.1,1552,36.6,190,6954.0,10.100000000000023
2,302.2,311.6,1592,37.7,79,2978.3,9.400000000000034
1,300.6,310.4,1494,47.3,118,5581.4,9.799999999999955
2,297.5,309.4,1433,48.3,139,6713.7,11.899999999999977
1,297.3,308.7,1491,40.2,112,4502.400000000001,11.399999999999977
1,300.1,311.5,2218,17.0,123,2091.0,11.399999999999977
0,302.0,310.9,1679,29.0,222,6438.0,8.899999999999977
1,299.2,308.4,1393,48.4,35,1694.0,9.199999999999989
2,302.1,310.7,1364,47.8,213,10181.4,8.599999999999966
2,300.0,309.2,1635,32.4,4,129.6,9.199999999999989
1,301.4,310.8,1431,44.3,21,930.3,9.400000000000034
1,300.8,310.3,1537,33.3,52,1731.6,9.5
0,299.7,309.2,1572,32.8,142,4657.599999999999,9.5
2,296.8,307.9,1843,25.2,116,2923.2,11.099999999999966
0,298.0,307.7,1547,36.8,186,6844.799999999999,9.699999999999989
1,301.0,310.9,1679,29.8,64,1907.2,9.899999999999977
1,295.7,306.1,1343,54.4,119,6473.599999999999,10.400000000000034
2,299.3,310.7,1374,48.9,222,10855.8,11.399999999999977
1,300.8,309.7,1373,45.4,179,8126.599999999999,8.899999999999977
1,298.6,309.7,1627,33.4,99,3306.6,11.099999999999966
1,300.4,311.5,1492,44.6,149,6645.400000000001,11.100000000000023
1,300.4,310.5,2424,14.5,12,174.0,10.100000000000023
1,301.3,310.5,1365,47.7,70,3339.0,9.199999999999989
1,300.0,309.6,1694,28.7,94,2697.7999999999997,9.600000000000023
1,301.4,310.3,2203,16.6,169,2805.4,8.900000000000034
1,302.4,310.9,1469,39.6,86,3405.6,8.5
2,297.3,308.6,1584,29.4,141,4145.4,11.300000000000011
2,304.2,313.6,1424,43.7,151,6598.700000000001,9.400000000000034
1,298.9,310.0,1719,27.3,58,1583.4,11.100000000000023
1,297.4,309.2,1620,33.2,28,929.6000000000001,11.800000000000011
1,302.1,311.2,1454,46.8,0,0.0,9.099999999999966
1,301.9,310.9,1486,40.3,6,241.79999999999998,9.0
1,297.2,308.5,1550,41.5,125,5187.5,11.300000000000011
2,298.0,308.9,1339,51.4,68,3495.2,10.899999999999977
1,300.2,311.6,1999,21.0,19,399.0,11.400000000000034
1,296.9,308.0,1546,31.1,11,342.1,11.100000000000023
0,303.5,312.8,1404,55.8,84,4687.2,9.300000000000011
1,297.2,308.5,1494,39.6,181,7167.6,11.300000000000011
1,302.1,311.5,1987,20.1,21,422.1,9.399999999999977
1,300.6,310.8,1378,51.2,119,6092.8,10.199999999999989
1,302.6,312.4,1398,41.6,40,1664.0,9.799999999999955
0,298.7,309.7,1697,29.8,74,2205.2000000000003,11.0
1,296.7,308.0,1451,50.7,197,9987.900000000001,11.300000000000011
2,300.5,311.9,1370,44.8,20,896.0,11.399999999999977
1,301.3,311.1,1560,35.3,55,1941.4999999999998,9.800000000000011
2,300.9,311.0,1567,34.3,130,4459.0,10.100000000000023
1,303.7,312.7,1395,53.9,123,6629.7,9.0
0,301.0,310.9,1495,37.3,21,783.3,9.899999999999977
2,303.6,312.7,2174,17.6,37,651.2,9.099999999999966
2,297.5,309.1,1540,38.5,176,6776.0,11.600000000000023
2,297.6,308.4,1569,38.3,93,3561.8999999999996,10.799999999999955
1,302.3,311.7,2170,18.2,91,1656.2,9.399999999999977
1,298.0,308.5,1713,25.3,124,3137.2000000000003,10.5
1,302.7,312.4,1477,46.3,251,11621.3,9.699999999999989
0,297.1,308.0,1559,38.8,229,8885.199999999999,10.899999999999977
1,300.3,309.2,1649,32.4,50,1620.0,8.899999999999977
1,300.2,309.7,1448,36.8,14,515.1999999999999,9.5
1,298.3,309.4,1356,45.4,96,4358.4,11.099999999999966
1,301.8,310.7,1597,30.8,74,2279.2000000000003,8.899999999999977
1,299.0,310.2,1516,35.3,102,3600.6,11.199999999999989
2,302.2,311.3,1510,37.1,10,371.0,9.100000000000023
2,299.2,308.4,1330,51.2,56,2867.2000000000003,9.199999999999989
2,300.2,309.5,1500,45.7,89,4067.3,9.300000000000011
1,301.6,310.7,1683,29.7,131,3890.7,9.099999999999966
1,299.9,310.4,1419,45.7,178,8134.6,10.5
1,298.6,309.0,1469,46.0,4,184.0,10.399999999999977
1,300.9,311.0,2235,15.8,156,2464.8,10.100000000000023
1,301.9,310.8,1400,58.2,79,4597.8,8.900000000000034
2,298.2,308.3,1448,43.3,199,8616.699999999999,10.100000000000023
1,298.2,308.9,1367,45.0,85,3825.0,10.699999999999989
2,298.6,309.1,1587,37.3,203,7571.9,10.5
1,300.5,309.9,1480,40.0,148,5920.0,9.399999999999977
1,300.8,310.2,1850,22.8,33,752.4,9.399999999999977
1,298.1,308.6,1558,42.4,14,593.6,10.5
1,297.1,308.1,1446,36.6,227,8308.2,11.0
0,302.3,311.8,1475,42.8,38,1626.3999999999999,9.5
1,301.1,310.6,1611,35.2,70,2464.0,9.5
1,300.4,310.5,1578,32.8,26,852.8,10.100000000000023
2,297.3,308.5,1710,27.7,138,3822.6,11.199999999999989
1,302.5,310.5,1520,41.2,154,6344.8,8.0
2,302.2,310.7,1601,33.0,166,5478.0,8.5
1,297.2,308.6,1636,31.3,192,6009.6,11.400000000000034
1,297.1,307.8,1636,30.3,90,2727.0,10.699999999999989
2,296.2,307.2,1552,34.8,8,278.4,11.0
1,300.3,311.4,1318,52.7,13,685.1,11.099999999999966
1,299.8,309.2,1400,42.6,210,8946.0,9.399999999999977
0,298.6,309.5,1420,50.4,82,4132.8,10.899999999999977
1,301.9,310.8,1906,21.7,62,1345.3999999999999,8.900000000000034
1,302.1,310.8,1565,35.3,6,211.79999999999998,8.699999999999989
1,302.4,311.1,1905,20.9,77,1609.3,8.700000000000045
2,298.6,309.8,1419,44.9,115,5163.5,11.199999999999989
1,296.9,307.8,1285,52.1,100,5210.0,10.900000000000034
1,298.3,308.5,1664,31.6,144,4550.400000000001,10.199999999999989
1,296.8,307.9,1337,56.5,5,282.5,11.099999999999966
0,302.2,311.2,1692,28.2,122,3440.4,9.0
1,298.7,309.9,1404,47.1,64,3014.4,11.199999999999989
1,298.2,307.6,1511,31.0,209,6479.0,9.400000000000034
1,300.5,309.7,1580,42.8,196,8388.8,9.199999999999989
1,302.8,310.6,1404,43.2,203,8769.6,7.800000000000011
2,302.0,310.8,1609,35.2,4,140.8,8.800000000000011
1,299.2,308.5,1457,44.7,195,8716.5,9.300000000000011
2,299.2,308.5,1742,28.9,150,4335.0,9.300000000000011
0,302.9,311.0,1469,48.7,130,6331.0,8.100000000000023
1,297.8,308.5,1448,40.0,192,7680.0,10.699999999999989
1,297.2,308.6,1335,53.0,39,2067.0,11.400000000000034
0,297.5,308.6,1536,38.7,7,270.90000000000003,11.100000000000023
2,303.6,312.5,1607,33.7,14,471.80000000000007,8.899999999999977
1,296.8,307.9,1698,30.8,48,1478.4,11.099999999999966
0,301.2,309.8,1709,27.0,151,4077.0,8.600000000000023
1,300.8,312.4,1365,44.5,129,5740.5,11.599999999999966
1,299.7,309.6,1553,36.8,174,6403.2,9.900000000000034
2,298.1,307.4,1335,56.2,190,10678.0,9.299999999999955
1,297.2,307.9,1540,37.1,164,6084.400000000001,10.699999999999989
2,300.3,310.4,1293,49.7,37,1838.9,10.099999999999966
0,298.3,309.0,1470,38.4,10,384.0,10.699999999999989
1,300.1,309.4,1453,47.6,28,1332.8,9.299999999999955
2,299.9,309.1,1345,56.8,10,568.0,9.200000000000045
1,301.3,311.0,1539,36.9,206,7601.4,9.699999999999989
1,299.4,308.6,1492,40.5,181,7330.5,9.200000000000045
1,298.4,309.3,1395,47.6,24,1142.4,10.900000000000034
1,302.3,311.5,1387,47.3,2,94.6,9.199999999999989
1,300.9,310.9,1497,43.2,62,2678.4,10.0
1,298.8,308.5,1736,29.0,31,899.0,9.699999999999989
1,297.8,307.6,1607,30.3,62,1878.6000000000001,9.800000000000011
2,300.0,309.5,1879,22.4,79,1769.6,9.5
1,297.5,308.9,1738,24.0,195,4680.0,11.399999999999977
0,297.6,308.8,1385,44.4,181,8036.4,11.199999999999989
2,302.2,311.1,1516,33.7,158,5324.6,8.900000000000034
1,303.8,313.0,1633,32.9,207,6810.299999999999,9.199999999999989
1,300.6,310.7,1397,53.7,80,4296.0,10.099999999999966
1,297.3,308.3,1268,60.6,119,7211.400000000001,11.0
1,297.6,308.6,1529,45.3,15,679.5,11.0
2,300.2,311.0,2370,14.7,144,2116.7999999999997,10.800000000000011
1,302.4,310.1,1645,31.6,93,2938.8,7.7000000000000455
1,303.7,312.4,1702,31.2,144,4492.8,8.699999999999989
2,299.8,309.3,1640,31.1,211,6562.1,9.5
1,299.7,311.1,1574,36.4,135,4914.0,11.400000000000034
1,297.5,309.4,1650,34.6,142,4913.2,11.899999999999977
2,301.5,310.0,1417,44.6,49,2185.4,8.5
2,298.1,308.1,1456,43.7,80,3496.0,10.0
1,299.5,310.1,1585,35.2,50,1760.0000000000002,10.600000000000023
1,301.0,310.6,1493,37.8,206,7786.799999999999,9.600000000000023
2,301.7,310.7,1659,29.9,73,2182.7,9.0
1,297.3,308.4,1469,46.7,65,3035.5,11.099999999999966
2,302.2,310.1,1421,45.4,9,408.59999999999997,7.900000000000034
2,303.6,312.8,1689,33.1,16,529.6,9.199999999999989
0,298.5,309.6,1579,33.5,91,3048.5,11.100000000000023
1,300.6,310.2,1318,51.0,8,408.0,9.599999999999966
2,302.1,310.6,1517,38.9,2,77.8,8.5
1,297.1,308.2,2267,15.7,181,2841.7,11.099999999999966
1,299.4,308.6,1415,56.4,175,9870.0,9.200000000000045
1,301.0,310.7,1300,57.2,174,9952.800000000001,9.699999999999989
0,297.9,308.5,1383,44.6,184,8206.4,10.600000000000023
1,301.9,310.8,1427,47.7,92,4388.400000000001,8.900000000000034
1,299.4,309.3,1391,46.6,185,8621.0,9.900000000000034
0,299.3,310.4,1510,45.5,27,1228.5,11.099999999999966
1,300.0,311.5,1445,41.6,81,3369.6,11.5
1,298.2,309.1,1568,36.3,166,6025.799999999999,10.900000000000034
0,300.9,311.9,2140,16.5,43,709.5,11.0
1,299.6,310.9,1472,40.9,137,5603.3,11.299999999999955
2,298.5,309.6,1502,39.4,84,3309.6,11.100000000000023
1,300.6,310.0,1455,40.4,172,6948.8,9.399999999999977
1,299.1,310.6,1577,37.1,44,1632.4,11.5
1,302.5,310.3,1688,31.6,66,2085.6,7.800000000000011
1,298.9,310.0,1378,49.3,18,887.4,11.100000000000023
2,298.5,309.3,1761,27.2,49,1332.8,10.800000000000011
1,297.5,308.2,1489,40.7,141,5738.700000000001,10.699999999999989
2,297.7,309.0,1531,42.4,38,1611.2,11.300000000000011
0,297.4,308.2,1359,46.9,199,9333.1,10.800000000000011
1,301.7,310.6,1660,28.7,66,1894.2,8.900000000000034
1,301.0,311.9,1889,23.5,198,4653.0,10.899999999999977
1,302.3,310.1,1353,50.9,36,1832.3999999999999,7.800000000000011
1,298.3,309.1,1616,31.1,195,6064.5,10.800000000000011
2,299.2,309.1,1503,34.7,6,208.20000000000002,9.900000000000034
2,297.5,308.0,1560,39.0,141,5499.0,10.5
1,299.6,309.2,1422,39.8,219,8716.199999999999,9.599999999999966
2,300.5,311.4,1743,27.6,46,1269.6000000000001,10.899999999999977
2,297.2,307.9,1632,37.5,156,5850.0,10.699999999999989
1,300.1,309.3,1340,56.0,130,7280.0,9.199999999999989
2,298.0,308.5,1682,33.0,58,1914.0,10.5
0,297.6,309.6,1419,48.2,215,10363.0,12.0
1,300.7,310.9,1650,29.4,102,2998.7999999999997,10.199999999999989
1,300.8,311.9,1498,39.3,23,903.9,11.099999999999966
1,303.0,311.2,1382,50.5,203,10251.5,8.199999999999989
2,301.9,310.7,1511,37.6,70,2632.0,8.800000000000011
0,297.9,307.7,1464,43.2,97,4190.400000000001,9.800000000000011
2,301.4,310.6,1459,46.9,27,1266.3,9.200000000000045
1,298.4,308.3,1422,42.7,186,7942.200000000001,9.900000000000034
2,300.0,309.3,1413,40.7,117,4761.900000000001,9.300000000000011
2,300.5,309.5,1320,49.9,59,2944.1,9.0
2,300.3,311.3,1377,53.8,125,6725.0,11.0
1,300.6,310.0,1438,53.8,103,5541.4,9.399999999999977
1,297.9,307.8,1499,37.5,78,2925.0,9.900000000000034
1,298.8,309.6,1442,50.0,104,5200.0,10.800000000000011
1,295.6,306.0,1569,40.4,174,7029.599999999999,10.399999999999977
2,297.7,309.2,1732,28.8,152,4377.6,11.5
1,300.3,311.5,1695,25.6,43,1100.8,11.199999999999989
2,300.2,311.6,1510,47.5,146,6935.0,11.400000000000034
1,298.8,310.0,1412,46.3,107,4954.099999999999,11.199999999999989
1,298.6,309.4,1315,55.5,28,1554.0,10.799999999999955
2,297.7,307.3,1365,49.2,36,1771.2,9.600000000000023
1,297.4,308.2,1639,33.8,39,1318.1999999999998,10.800000000000011
2,302.5,311.5,1481,41.1,215,8836.5,9.0
1,300.0,309.6,1452,46.0,51,2346.0,9.600000000000023
2,296.6,307.5,1734,27.0,50,1350.0,10.899999999999977
2,302.6,312.3,1454,54.8,253,13864.4,9.699999999999989
1,298.2,308.8,1302,60.4,34,2053.6,10.600000000000023
1,295.8,306.5,1568,35.1,111,3896.1000000000004,10.699999999999989
1,297.4,308.4,1369,50.6,220,11132.0,11.0
0,301.2,310.6,1352,52.0,69,3588.0,9.400000000000034
1,300.8,311.8,1928,21.8,209,4556.2,11.0
2,300.8,310.7,1924,22.4,36,806.4,9.899999999999977
0,301.7,310.2,1620,30.8,42,1293.6000000000001,8.5
1,302.0,311.0,1420,45.9,144,6609.599999999999,9.0
1,300.4,311.7,1513,40.0,51,2040.0,11.300000000000011
0,300.6,311.7,1535,33.3,92,3063.6,11.099999999999966
2,297.2,308.3,1326,57.2,100,5720.0,11.100000000000023
1,299.0,308.5,1559,38.1,194,7391.400000000001,9.5
2,302.4,311.8,1557,31.5,49,1543.5,9.400000000000034
2,297.1,308.0,1690,25.6,159,4070.4,10.899999999999977
1,299.3,308.5,1589,32.7,74,2419.8,9.199999999999989
1,298.8,308.9,1527,32.4,189,6123.599999999999,10.099999999999966
2,297.5,308.5,1484,44.7,40,1788.0,11.0
1,298.3,308.1,1840,21.5,88,1892.0,9.800000000000011
2,301.1,310.0,1433,48.1,14,673.4,8.899999999999977
1,302.1,311.2,1460,46.9,198,9286.199999999999,9.099999999999966
0,300.8,309.9,2041,19.2,194,3724.7999999999997,9.099999999999966
0,300.8,311.9,1431,48.5,25,1212.5,11.099999999999966
1,300.7,310.4,1366,52.6,205,10783.0,9.699999999999989
1,302.0,311.2,1434,44.9,15,673.5,9.199999999999989
2,299.8,310.0,1632,33.7,172,5796.400000000001,10.199999999999989
1,299.8,311.3,1727,30.0,24,720.0,11.5
2,301.1,311.3,1836,22.8,31,706.8000000000001,10.199999999999989
1,297.5,308.9,1390,47.4,187,8863.8,11.399999999999977
2,300.4,309.4,1362,42.1,182,7662.2,9.0
2,301.7,311.0,1311,46.8,136,6364.799999999999,9.300000000000011
1,298.2,308.3,1402,51.0,141,7191.0,10.100000000000023
1,299.4,308.5,1845,22.9,76,1740.3999999999999,9.100000000000023
2,300.8,310.4,1518,36.0,59,2124.0,9.599999999999966
2,296.9,307.9,1385,44.8,144,6451.2,11.0
1,300.3,309.9,1393,56.1,12,673.2,9.599999999999966
1,298.1,309.0,1437,36.2,95,3439.0000000000005,10.899999999999977
1,300.2,311.4,1495,43.6,95,4142.0,11.199999999999989
1,298.9,309.9,1590,31.3,98,3067.4,11.0
1,301.8,310.7,1644,33.4,68,2271.2,8.899999999999977
2,300.3,309.6,1419,42.5,137,5822.5,9.300000000000011
1,298.2,308.3,2051,19.2,90,1728.0,10.100000000000023
1,297.5,309.6,1312,50.7,0,0.0,12.100000000000023
1,300.0,309.2,1566,34.4,18,619.1999999999999,9.199999999999989
1,303.6,312.6,1502,39.5,103,4068.5,9.0
2,300.5,309.4,1655,32.1,37,1187.7,8.899999999999977
0,302.5,312.0,1357,42.0,179,7518.0,9.5
2,302.4,311.4,1675,29.6,128,3788.8,9.0
1,297.4,308.5,1692,34.3,83,2846.8999999999996,11.100000000000023
2,299.8,309.3,1663,35.2,208,7321.6,9.5
1,299.0,308.6,1329,60.5,120,7260.0,9.600000000000023
2,301.9,310.7,1472,47.0,73,3431.0,8.800000000000011
1,300.1,309.1,1551,33.7,214,7211.8,9.0
1,298.2,308.9,1336,45.0,66,2970.0,10.699999999999989
2,298.6,309.2,1311,46.6,44,2050.4,10.599999999999966
2,299.6,309.3,1553,32.4,112,3628.7999999999997,9.699999999999989
2,298.1,308.9,1417,39.2,65,2548.0,10.799999999999955
1,298.6,309.0,1456,47.7,0,0.0,10.399999999999977
2,299.5,310.1,1359,61.1,67,4093.7000000000003,10.600000000000023
1,301.0,311.6,1461,40.6,154,6252.400000000001,10.600000000000023
1,300.4,309.9,1376,43.5,74,3219.0,9.5
2,302.2,311.4,1432,45.3,33,1494.8999999999999,9.199999999999989
2,301.4,310.6,1459,35.0,87,3045.0,9.200000000000045
1,299.4,309.3,1366,48.4,116,5614.4,9.900000000000034
1,298.7,309.8,1546,40.9,109,4458.099999999999,11.100000000000023
2,298.8,309.7,1480,38.1,157,5981.7,10.899999999999977
1,298.3,308.1,1505,46.1,80,3688.0,9.800000000000011
2,302.5,311.4,1629,31.7,225,7132.5,8.899999999999977
1,298.0,308.9,1406,40.9,77,3149.2999999999997,10.899999999999977
1,297.8,309.2,1400,56.9,34,1934.6,11.399999999999977
1,297.4,308.5,1389,39.2,54,2116.8,11.100000000000023
2,302.0,311.3,1725,27.7,23,637.1,9.300000000000011
1,299.2,308.4,1436,41.8,28,1170.3999999999999,9.199999999999989
1,298.2,307.6,1369,54.5,82,4469.0,9.400000000000034
2,298.3,309.6,1681,27.1,194,5257.400000000001,11.300000000000011
1,300.7,311.1,1427,50.3,137,6891.099999999999,10.400000000000034
1,301.4,310.8,1698,29.6,99,2930.4,9.400000000000034
1,296.9,307.7,1653,35.9,177,6354.3,10.800000000000011
2,295.6,306.1,1651,28.1,110,3091.0,10.5
2,298.5,308.6,1897,20.2,50,1010.0,10.100000000000023
0,297.9,307.9,1406,58.5,93,5440.5,10.0
1,301.2,310.6,1811,24.0,84,2016.0,9.400000000000034
1,301.0,312.2,1510,39.9,61,2433.9,11.199999999999989
2,298.2,308.8,1645,28.2,58,1635.6,10.600000000000023
2,297.9,308.7,1751,26.6,111,2952.6000000000004,10.800000000000011
2,300.0,311.4,1533,42.6,180,7668.0,11.399999999999977
1,301.6,309.8,1588,33.9,89,3017.1,8.199999999999989
2,302.3,310.9,1627,32.3,0,0.0,8.599999999999966
2,300.3,311.7,1551,36.4,84,3057.6,11.399999999999977
2,295.6,306.1,1418,46.2,24,1108.8000000000002,10.5
1,300.6,311.8,1652,27.2,52,1414.3999999999999,11.199999999999989
1,300.0,309.6,1431,47.7,39,1860.3000000000002,9.600000000000023
2,297.4,308.9,1500,46.3,137,6343.099999999999,11.5
2,297.8,307.9,1726,27.3,35,955.5,10.099999999999966
1,299.8,311.2,2142,16.6,144,2390.4,11.399999999999977
2,300.9,310.0,1416,46.6,201,9366.6,9.100000000000023
0,297.3,308.4,1864,23.1,90,2079.0,11.099999999999966
1,298.5,308.2,1444,40.5,170,6885.0,9.699999999999989
0,297.5,308.6,1355,58.9,138,8128.2,11.100000000000023
1,297.4,308.4,1341,52.2,49,2557.8,11.0
2,301.1,312.4,1809,25.1,126,3162.6000000000004,11.299999999999955
2,299.3,308.5,1404,49.4,93,4594.2,9.199999999999989
1,299.9,310.0,1447,45.9,162,7435.8,10.100000000000023
0,297.5,308.9,1471,37.7,197,7426.900000000001,11.399999999999977
1,297.6,308.6,1664,30.1,81,2438.1,11.0
1,300.0,311.5,1749,28.3,83,2348.9,11.5
1,298.3,308.1,1528,33.9,82,2779.7999999999997,9.800000000000011
1,297.9,309.0,1562,35.8,40,1432.0,11.100000000000023
1,298.5,308.8,1332,59.1,115,6796.5,10.300000000000011
0,297.4,308.7,1522,46.3,146,6759.799999999999,11.300000000000011
1,300.1,309.3,1616,32.0,199,6368.0,9.199999999999989
1,299.8,309.4,1460,37.4,25,935.0,9.599999999999966
1,296.4,307.5,1331,47.8,99,4732.2,11.100000000000023
1,299.3,308.8,1647,32.9,172,5658.8,9.5
1,300.2,311.6,1511,35.7,160,5712.0,11.400000000000034
1,299.0,309.1,1523,38.6,177,6832.2,10.100000000000023
2,298.7,309.8,1435,48.8,71,3464.7999999999997,11.100000000000023
2,296.0,306.6,1628,36.8,121,4452.799999999999,10.600000000000023
1,297.8,307.2,1351,56.3,174,9796.199999999999,9.399999999999977
2,301.3,310.8,1494,35.3,54,1906.1999999999998,9.5
1,301.5,310.5,1611,33.8,144,4867.2,9.0
0,299.3,309.0,1732,29.7,141,4187.7,9.699999999999989
1,304.2,313.4,1644,31.7,23,729.1,9.199999999999989
1,299.7,309.1,1483,41.1,208,8548.800000000001,9.400000000000034
2,303.6,312.3,1630,32.4,223,7225.2,8.699999999999989
1,300.5,310.0,1451,48.6,208,10108.800000000001,9.5
1,298.6,310.2,1569,36.3,10,363.0,11.599999999999966
2,298.7,309.6,1254,57.1,124,7080.400000000001,10.900000000000034
2,298.8,309.6,1575,34.4,149,5125.599999999999,10.800000000000011
2,298.5,309.3,1552,36.8,133,4894.4,10.800000000000011
1,301.9,310.4,1603,37.6,69,2594.4,8.5
1,300.0,309.1,1401,44.5,0,0.0,9.100000000000023
2,301.9,310.8,1563,39.2,39,1528.8000000000002,8.900000000000034
1,297.2,307.9,1309,49.6,167,8283.2,10.699999999999989
1,295.7,306.3,1490,34.3,97,3327.1,10.600000000000023
2,298.4,309.5,1514,38.8,128,4966.4,11.100000000000023
1,299.9,310.5,1539,32.8,213,6986.4,10.600000000000023
0,302.9,312.3,1509,46.8,175,8189.999999999999,9.400000000000034
1,302.3,311.3,1439,41.8,96,4012.7999999999997,9.0
1,297.5,308.6,1536,39.0,202,7878.0,11.100000000000023
1,297.8,308.3,1477,44.8,170,7615.999999999999,10.5
2,296.9,307.8,1426,50.7,130,6591.0,10.900000000000034
1,298.3,308.4,1490,41.7,170,7089.000000000001,10.099999999999966
2,302.9,312.5,1903,21.2,23,487.59999999999997,9.600000000000023
1,300.7,309.9,1383,44.5,176,7832.0,9.199999999999989
2,301.4,311.2,1727,26.5,43,1139.5,9.800000000000011
2,300.4,309.6,1563,34.0,6,204.0,9.200000000000045
0,301.9,310.9,1590,34.3,106,3635.7999999999997,9.0
1,297.4,308.4,1474,43.6,4,174.4,11.0
2,298.2,309.0,1353,50.3,150,7545.0,10.800000000000011
1,302.2,311.1,1351,48.6,110,5346.0,8.900000000000034
